LUO_ZUP,C,100;IME_LOV,C,100;ID_LOV,N,4,0;SO_V_VZORC,N,4,2;ST_VZORCEV,N,5,2;POSILJAJO,N,4,2;VL,C,1
POSAVSKO;PIŠECE;202;0;0;0;
POSAVSKO;BIZELJSKO;203;0;0;0;
POSAVSKO;GLOBOKO;204;0;0;0;
POSAVSKO;KRŠKO;205;0;0;0;
POSAVSKO;KAPELE;206;0;0;0;
POSAVSKO;BREŽICE;207;0;0;0;
POSAVSKO;DOBOVA;208;0;0;0;
POSAVSKO;MOKRICE;209;0;0;0;
POSAVSKO;CERKLJE ob KRKI;210;0;0;0;
POSAVSKO;ČATEŽ ob SAVI;211;0;0;0;
POSAVSKO;VELIKI PODLOG;212;0;0;0;
POSAVSKO;KOSTANJEVICA na KRKI;213;0;0;0;
POMURSKO;APAČE;214;0;0;0;
POMURSKO;GORNJA RADGONA;215;0;0;0;
POMURSKO;NEGOVA;216;0;0;0;
POSAVSKO;PODBOČJE;217;0;0;0;
POMURSKO;VIDEM ob ŠČAVNICI;218;0;0;0;
POMURSKO;RADENCI;219;0;0;0;
POMURSKO;KRIŽEVCI pri LJUTOMERU;220;0;0;0;
POMURSKO;LJUTOMER;221;0;0;0;
POMURSKO;MALA NEDELJA;222;0;0;0;
POMURSKO;ROGAŠOVCI;223;0;0;0;
POMURSKO;PEČAROVCI;224;0;0;0;
POMURSKO;GRAD - KUZMA;225;0;0;0;
POMURSKO;LPN KOMPAS PESKOVCI;226;0;0;0;
POMURSKO;RADOVCI;227;0;0;0;
POMURSKO;DOLINA;228;0;0;0;
POMURSKO;IVANOVCI;229;0;0;0;
POMURSKO;PROSENJAKOVCI;230;0;0;0;
POMURSKO;RANKOVCI;231;0;0;0;
POMURSKO;BREZOVCI;232;0;0;0;
POMURSKO;TIŠINA;233;0;0;0;
POMURSKO;MURSKA SOBOTA;234;0;0;0;
POMURSKO;MLAJTINCI;235;0;0;0;
POMURSKO;MORAVCI;236;0;0;0;
POMURSKO;BOGOJINA;237;0;0;0;
POMURSKO;DOBROVNIK;238;0;0;0;
POMURSKO;LPN FAZAN BELTINCI;239;0;0;0;
POMURSKO;KOBILJE;240;0;0;0;
POMURSKO;BAKOVCI - LIPOVCI;241;0;0;0;
POMURSKO;PETIŠOVCI;242;0;0;0;
POMURSKO;VELIKA POLANA;243;0;0;0;
POMURSKO;LENDAVA;244;0;0;0;
SAVINJSKO - KOZJANSKO;ŠKALE;245;0;0;0;
SAVINJSKO - KOZJANSKO;OLJKA;246;0;0;0;
SAVINJSKO - KOZJANSKO;VELENJE;247;0;0;0;
SAVINJSKO - KOZJANSKO;POLZELA;248;0;0;0;
SAVINJSKO - KOZJANSKO;VITANJE;249;0;0;0;
SAVINJSKO - KOZJANSKO;ŽALEC;250;0;0;0;
SAVINJSKO - KOZJANSKO;DOBRNA;251;0;0;0;
SAVINJSKO - KOZJANSKO;VOJNIK;252;0;0;0;
SAVINJSKO - KOZJANSKO;SLOVENSKE KONJICE;253;0;0;0;
SAVINJSKO - KOZJANSKO;LOČE;254;0;0;0;
SAVINJSKO - KOZJANSKO;PONIKVA;255;0;0;0;
SAVINJSKO - KOZJANSKO;KAJUH - ŠMARTNO;256;0;0;0;
SAVINJSKO - KOZJANSKO;GRMADA - CELJE;257;0;0;0;
SAVINJSKO - KOZJANSKO;HUM - CELJE;258;0;0;0;
SAVINJSKO - KOZJANSKO;GOZDNIK - GRIŽE;259;0;0;0;
SAVINJSKO - KOZJANSKO;BOJANSKO - ŠTORE;260;0;0;0;
SAVINJSKO - KOZJANSKO;ŠENTJUR pri CELJU;261;0;0;0;
SAVINJSKO - KOZJANSKO;LOG ŠENTVID;262;0;0;0;
SAVINJSKO - KOZJANSKO;ŠMARJE pri JELŠAH;263;0;0;0;
SAVINJSKO - KOZJANSKO;PRISTAVA;264;0;0;0;
SAVINJSKO - KOZJANSKO;LOKA pri ŽUSMU;265;0;0;0;
SAVINJSKO - KOZJANSKO;JURKLOŠTER;266;0;0;0;
SAVINJSKO - KOZJANSKO;HANDIL - DOBJE;267;0;0;0;
SAVINJSKO - KOZJANSKO;KOZJE;268;0;0;0;
SAVINJSKO - KOZJANSKO;BOHOR - PLANINA;269;0;0;0;
SAVINJSKO - KOZJANSKO;PODČETRTEK;270;0;0;0;
SAVINJSKO - KOZJANSKO;BISTRICA ob SOTLI;271;0;0;0;
SAVINJSKO - KOZJANSKO;PODSREDA;272;0;0;0;
SLOVENSKO - GORIŠKO;KUNGOTA;273;0;0;0;
SLOVENSKO - GORIŠKO;ŠENTILJ v SLOVENSKIH GORICAH;274;0;0;0;
